Companies in Scale;;;;;;;;
;;;;;;;;
1.05.2026;;;;;;;;
;;;;;;;;
;;;;;;;;
Number of instruments:;40; ;;;;;;
Number of companies: ;40;; ;;;;;
ISIN;Trading Symbol;Company;Sector;Subsector;Country;Instrument Exchange;Index;
DE000A0HL8N9;2GB;2G ENERGY AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;-;
DE000A0M93V6;ABX;ADVANCED BLOCKCHAIN AG;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE0005209589;A6T;ARTEC TECHNOLOGIES O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE000A0JM2M1;B7E;BLUE CAP             O.N.;Industrial;Industrial, Diversified;Germany;XETRA + FRANKFURT ;-;
DE000A3DSV01;HIGH;CANTOURAGE GROUP SE O.N.;Pharma & Healthcare;Pharmaceuticals;Germany;XETRA + FRANKFURT ;-;
DE000A35JS40;CLIQ;CLIQ DIGITAL AG  O.N.;Retail;Retail, Internet;Germany;XETRA + FRANKFURT ;-;
DE0007830572;4DS;DALDRUP+SOEHNE AG;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;-;
DE000A0V9LA7;DAR;DATRON AG INH.O.N.;Industrial;Industrial Machinery;Germany;XETRA + FRANKFURT ;-;
DE000A0MZ4B0;DLX;DELIGNIT AG      INH.O.N.;Industrial;Renewable Energies;Germany;XETRA + FRANKFURT ;-;
DE000A0XYG76;DR0;DEUTSCHE ROHSTOFF AG NA O.N.;Basic Resources;Mining;Germany;XETRA + FRANKFURT ;-;
DE000A161077;HXCK;ERNST RUSS AG NA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE000A0LR9G9;EXL;EXASOL AG  NA O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE000A421RZ9Ā;XK4;Gabler Group SE;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT ;-;
DE0005495626;GME;GERATHERM O.N.;Pharma & Healthcare;Medical Technology;Germany;XETRA + FRANKFURT ;-;
DE000A0XYHT5;IBU;IBU-TEC ADVANCED MATERIALS INH.ON;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT ;-;
DE000A40QVM8;1INN;INNOSCRIPTA SE;Software;Information Technology;Germany;XETRA + FRANKFURT ;-;
DE000A0B9N37;JDC;JDC GROUP AG O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE000A12UP29;LQAG;LAIQON AG INH. O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE0006580806;MUM;MENSCH UND MASCHINE SOFTWARE O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE000A1TNWJ4;MPCK;MPC MUENCHMEYER PETERSEN CAPITAL ;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE000A0KE043;C1V0;MVISE AG O.N.;Software;Software;Germany;XETRA + FRANKFURT ;-;
DE000A0KPPR7;NTG;NABALTEC AG INH.;Chemicals;Chemicals, Speciality;Germany;XETRA + FRANKFURT ;-;
DE000A2E4MK4;NUVA;NORATIS AG  INH. O.N.;Financial Services;Real Estate;Germany;FRANKFURT ;-;
DE0008435967;NBG6;NUERNBERGER BETEILIGUNGS AG VNA;Insurance;Insurance;Germany;XETRA + FRANKFURT ;-;
DE000A0MSN11;M7U;NYNOMIC AG  INH O.N.;Industrial;Advanced Industrial Equipment;Germany;XETRA + FRANKFURT ;-;
DE0005408686;VVV3;OEKOWORLD AG VZNA O.N.;Financial Services;Diversified Financial;Germany;XETRA + FRANKFURT ;-;
DE000A12UPJ7;PAL;PAL Next AG;Media;Movies & Entertainment;Germany;XETRA + FRANKFURT ;-;
DE000PFSE212;PFSE;PFISTERER HOLDING SE;Industrial;Industrials;Germany;XETRA + FRANKFURT ;-;
DE000A3E5ED2;VEZ;Planethic Group AG;Food & Beverages;Food;Germany;XETRA + FRANKFURT ;-;
DE000A41YDL0;M3B;PYRAMID AG;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
DE000A2G8ZX8;PYR;PYRUM INNOVATIONS AG;Industrial;Industrial Products & Services;Germany;XETRA + FRANKFURT ;-;
IT0005526295;H68;RIGSAVE S.p.A;Financial Services;Diversified Financial;Italy;XETRA + FRANKFURT ;-;
DE0006942808;PZS;SCHERZER U. CO. AG O.N.;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
AT0000A3FW25;4X0Ā;Steyr Motors AG;Industrial;Industrial Machinery;Austria;XETRA + FRANKFURT ;-;
CH0451123589;81D;SWISSNET AG;Software;Software;Switzerland;XETRA + FRANKFURT ;-;
DE000A1MMEV4;PGH;The Payments Group Holding GmbH & Co KGaA;Financial Services;Private Equity & Venture Capital;Germany;XETRA + FRANKFURT ;-;
DE000A40ZW88;TPG;The Platform Group SE & Co. KGaA;Retail;Retail, Internet;Germany;XETRA + FRANKFURT ;-;
DE000A40ZTT8;TIW;TIN INN HLDG AG VNA O.N.;Consumer;Consumer Goods;Germany;XETRA + FRANKFURT ;-;
DE0005570808;UBK;UmweltBank AG;Banks;Credit Banks;Germany;XETRA + FRANKFURT ;-;
DE0005407100;CSH;CENIT AG O.N.;Software;IT-Services;Germany;XETRA + FRANKFURT ;-;
;;;;;;;;
;;;;;;;;
